Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Pakistan,PAK,"Population, total",SP.POP.TOTL,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.641,65.943,66.223,66.481,66.729,65.701,65.773,67.417,67.649,..
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1380.47020838317,1424.69161195897,1519.23459514248,1569.33814626355,1390.41690981745,1278.39735206896,1455.31922370186,1538.3228133171,1365.16927410976,1484.74985864775
Qatar,QAT,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,1.95889713144204,5.73136988731264,-5.60434945469027,-17.0638679523866,..,..,..,..
Qatar,QAT,"Population, total",SP.POP.TOTL,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.785,82.147,82.458,82.714,82.945,80.409,81.083,81.857,82.368,..
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,68985.2946961507,61253.6375482797,63279.8556949332,71039.8490579352,66841.3013484919,51683.5054376677,71751.8831257169,88701.463352273,80195.8746508549,76275.9076782833
South Africa,ZAF,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.98685252635194,-1.15261247593816,1.74306598204741,-0.979636158022487,-0.420354614733668,-6.11562654457376,5.20238575878456,..,..,..
South Africa,ZAF,"Population, total",SP.POP.TOTL,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.053,64.749,65.422,65.726,66.071,65.15,62.01,65.454,66.139,..
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6112.27382485974,5651.20585165749,6618.33508255701,6914.1780318076,6533.71121032856,5580.60383075189,6843.39941886204,6523.41097815853,6022.54254192335,6253.37158194543
United States,USA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.95507621184076,-0.248145130206083,1.98443719531898,2.4035674513206,1.83884113502309,-4.30381651287594,5.33686657523864,..,..,..
United States,USA,"Population, total",SP.POP.TOTL,321815121,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,76.9804878048781,76.3292682926829,77.4341463414634,78.3853658536585,..
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,56849.4697923159,57976.628204291,60047.7190728307,62875.6661382728,65227.9565911038,64401.5074354212,71307.4017277218,77860.9112908848,82304.6204272866,85809.9003846356
United Kingdom,GBR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.21163461645541,0.999039655475499,2.56353788470611,0.339850376019996,..,..,..,..,..,..
United Kingdom,GBR,"Population, total",SP.POP.TOTL,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,81.3691219512195,80.331756097561,80.6473170731707,81.0112195121951,81.2380975609756,..
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,44983.885522934,40988.1044233026,40629.2340347345,43315.4874501318,42794.0022648288,40404.8062238951,46926.475736105,46062.9914079698,49200.8101526146,52636.7865943853
European Union,EUU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.580494137427,2.47190191767015,2.46581813066112,1.76387167527288,1.57157592733522,-6.84495572259377,5.70835483921445,..,..,..
European Union,EUU,"Population, total",SP.POP.TOTL,443793218,444676652,445321060,446329890,446910453,446870959,446227358,447703403,449425965,450185396
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.5708966220669,80.9530808081627,80.9303097853099,81.0317510064821,81.3194524901834,80.4414754678551,80.3071964400875,80.7129818383208,81.4114503796875,..
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,30769.090644109,31462.4341209885,33391.9679020533,36054.3954466385,35374.6443827131,34698.4032089427,39214.3660784805,37962.8295010744,41392.0743803078,43145.1566930223
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,
