country,iso_code,year,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total,gdp_pc_rank,population_rank,ann_income_pc_growth_pct_rolling_3yr,gdp_pc_usd_yoy_pct,life_expectancy_years_yoy_pct,population_total_yoy_pct
Pakistan,PAK,2023,5.84747033829215,1365.16927410976,67.649,247504495,13.0,4.0,5.84747033829215,-11.255995016674525,0.3441268522776042,1.5608607259166796
Pakistan,PAK,2024,5.84747033829215,1484.74985864775,67.649,251269164,13.0,4.0,5.84747033829215,8.759396128071351,0.0,1.5210507590983413
Qatar,QAT,2015,1.95889713144204,68985.2946961507,81.785,2344557,2.0,13.0,1.95889713144204,,,
Qatar,QAT,2016,1.95889713144204,61253.6375482797,82.147,2477113,2.0,13.0,1.95889713144204,-11.207688800816873,0.44262395304763835,5.6537759585286285
Qatar,QAT,2017,1.95889713144204,63279.8556949332,82.458,2545820,2.0,13.0,1.95889713144204,3.3079148076005316,0.37858960156791355,2.7736724162361615
Qatar,QAT,2018,5.73136988731264,71039.8490579352,82.714,2580734,2.0,13.0,3.2163880500655737,12.262975757107064,0.3104610832181276,1.3714245311923001
Qatar,QAT,2019,-5.60434945469027,66841.3013484919,82.945,2638657,2.0,13.0,0.6953058546881369,-5.910130391773838,0.27927557608142806,2.2444389851879354
Qatar,QAT,2020,-17.0638679523866,51683.5054376677,80.409,2794148,2.0,13.0,-5.645615839921411,-22.67729024573547,-3.0574477063114003,5.892808349095779
Qatar,QAT,2021,-17.0638679523866,71751.8831257169,81.083,2504910,2.0,13.0,-13.244028453154492,38.82936638702348,0.8382146277157831,-10.35156333880668
Qatar,QAT,2022,-17.0638679523866,88701.463352273,81.857,2657333,2.0,13.0,-17.0638679523866,23.622488342025317,0.954577408334667,6.0849691206470435
Qatar,QAT,2023,-17.0638679523866,80195.8746508549,82.368,2656032,2.0,13.0,-17.0638679523866,-9.589006065929972,0.6242593791612183,-0.048958862137338244
Qatar,QAT,2024,-17.0638679523866,76275.9076782833,82.368,2857822,2.0,13.0,-17.0638679523866,-4.887990797079988,0.0,7.597423525017777
South Africa,ZAF,2015,1.98685252635194,6112.27382485974,64.053,56723537,12.0,7.0,1.98685252635194,,,
South Africa,ZAF,2016,-1.15261247593816,5651.20585165749,64.749,57259551,12.0,7.0,0.41712002520689007,-7.5433134446137196,1.086600159243134,0.9449587038269591
South Africa,ZAF,2017,1.74306598204741,6618.33508255701,65.422,57635162,12.0,7.0,0.8591020108203967,17.113679032163766,1.0393982918655231,0.6559796460855916
South Africa,ZAF,2018,-0.979636158022487,6914.1780318076,65.726,58613001,12.0,7.0,-0.1297275506377457,4.4700509351710105,0.46467549142490405,1.6966014600600987
South Africa,ZAF,2019,-0.420354614733668,6533.71121032856,66.071,59587885,12.0,7.0,0.11435840309708496,-5.50270501755612,0.5249064297234041,1.6632555633860235
South Africa,ZAF,2020,-6.11562654457376,5580.60383075189,65.15,60562381,12.0,7.0,-2.505205772443305,-14.58753454040006,-1.3939549878161261,1.6353928319489786
South Africa,ZAF,2021,5.20238575878456,6843.39941886204,62.01,61502603,12.0,7.0,-0.44453180017428934,22.628296621801415,-4.819646968534164,1.5524851970400544
South Africa,ZAF,2022,5.20238575878456,6523.41097815853,65.454,62378410,12.0,7.0,1.4297149909984534,-4.675869712084102,5.553942912433474,1.424016150991192
South Africa,ZAF,2023,5.20238575878456,6022.54254192335,66.139,63212384,12.0,7.0,5.20238575878456,-7.6780144300607756,1.0465364989152626,1.336959374245028
South Africa,ZAF,2024,5.20238575878456,6253.37158194543,66.139,64007187,12.0,7.0,5.20238575878456,3.832750676566632,0.0,1.2573533059597963
United Kingdom,GBR,2015,2.21163461645541,44983.885522934,80.9560975609756,65088000,7.0,6.0,2.21163461645541,,,
United Kingdom,GBR,2016,0.999039655475499,40988.1044233026,81.1560975609756,65607000,7.0,6.0,1.6053371359654545,-8.8826944430895,0.24704748132078347,0.7973820058997161
United Kingdom,GBR,2017,2.56353788470611,40629.2340347345,81.2560975609756,65966000,7.0,6.0,1.9247373855456729,-0.8755476585642463,0.12321933040813082,0.5471977075616863
United Kingdom,GBR,2018,0.339850376019996,43315.4874501318,81.2560975609756,66289000,7.0,6.0,1.300809305400535,6.611627019846789,0.0,0.48964618136615456
United Kingdom,GBR,2019,0.339850376019996,42794.0022648288,81.3691219512195,66631000,7.0,6.0,1.081079545582034,-1.2039231600553313,0.13909650307668553,0.5159227021074297
United Kingdom,GBR,2020,0.339850376019996,40404.8062238951,80.331756097561,66744000,7.0,6.0,0.339850376019996,-5.583016110875216,-1.2748888383979362,0.16959073104110267
United Kingdom,GBR,2021,0.339850376019996,46926.475736105,80.6473170731707,66984000,7.0,6.0,0.339850376019996,16.14082610883314,0.39282220499008424,0.3595828838547366
United Kingdom,GBR,2022,0.339850376019996,46062.9914079698,81.0112195121951,67604000,7.0,6.0,0.339850376019996,-1.840079218799806,0.45122696232315906,0.9255941717425165
United Kingdom,GBR,2023,0.339850376019996,49200.8101526146,81.2380975609756,68492000,7.0,6.0,0.339850376019996,6.8120168680618765,0.28005756504672075,1.3135317436838045
